Metropolitan area,Country,Pop. rank,Population (2022 est.)[8],B4,NFL,MLB,NBA,NHL,B6,MLS,CFL
New York City,United States,1,19617869,9,Giants Jets[note 1],Yankees Mets[note 2],Knicks Nets,Rangers Islanders Devils[note 3],11,Red Bulls New York City FC,—
Los Angeles,United States,2,12872322,8,Rams Chargers[note 4],Dodgers Angels,Lakers Clippers,Kings Ducks,10,Galaxy Los Angeles FC[note 5],—
Chicago,United States,3,9441957,5,Bears[note 6],Cubs White Sox,Bulls[note 7],Blackhawks,6,Fire,—
San Francisco Bay Area,United States,6,6518123,5,49ers[note 8],Giants Athletics,Warriors,Sharks[note 9],6,Earthquakes,—
Dallas–Fort Worth,United States,4,7943685,4,Cowboys[note 10],Rangers,Mavericks,Stars,5,FC Dallas,—
"Washington, D.C.",United States,7,6373756,4,Commanders[note 11],Nationals[note 12],Wizards[note 13],Capitals,5,D.C. United,—
Philadelphia,United States,8,6241164,4,Eagles[note 14],Phillies[note 15],76ers[note 16],Flyers[note 17],5,Union,—
Miami–Fort Lauderdale,United States,11,6139340,4,Dolphins,Marlins,Heat,Panthers,5,Inter Miami CF[note 18],—
Boston,United States,13,4900550,4,Patriots[note 19],Red Sox[note 20],Celtics,Bruins,5,Revolution,—
Minneapolis–Saint Paul,United States,18,3693729,4,Vikings[note 21],Twins,Timberwolves[note 22],Wild[note 23],5,United FC,—
Denver,United States,21,2985871,4,Broncos,Rockies,Nuggets[note 24],Avalanche[note 25],5,Rapids,—
Phoenix,United States,12,5015678,4,Cardinals,Diamondbacks,Suns,Coyotes,4,—,—
Detroit,United States,15,4345761,4,Lions[note 26],Tigers[note 27],Pistons[note 28],Red Wings,4,—,—
Toronto,Canada,10,6202225,3,— [note 29],Blue Jays,Raptors[note 30],Maple Leafs,5,Toronto FC,Argonauts
Houston,United States,5,6772470,3,Texans[note 31],Astros,Rockets,—,4,Dynamo,—
Atlanta,United States,9,6222106,3,Falcons,Braves,Hawks,[note 32],4,United FC,—
Seattle,United States,17,4034248,3,Seahawks,Mariners[note 33],[note 34],Kraken,4,Sounders FC,—
Tampa Bay Area,United States,19,3290730,3,Buccaneers,Rays,[note 35],Lightning,3,[note 36],—
Pittsburgh,United States,31,2349172,3,Steelers,Pirates,[note 37],Penguins[note 38],3,—,—
Cleveland,United States,37,2063132,3,Browns[note 39],Guardians[note 40],Cavaliers[note 41],[note 42],3,—,—
St. Louis,United States,23,2801319,2,[note 43],Cardinals[note 44],[note 45],Blues[note 46],3,St. Louis City SC,—
Charlotte,United States,25,2756069,2,Panthers,—,Hornets[note 47],—,3,Charlotte FC,—
Cincinnati,United States,33,2265051,2,Bengals[note 48],Reds[note 49],[note 50],—,3,FC Cincinnati,—
Kansas City,United States,34,2209494,2,Chiefs[note 51],Royals[note 52],[note 53],[note 54],3,Sporting Kansas City,—
Nashville,United States,38,2046828,2,Titans,—,—,Predators,3,Nashville SC,—
Baltimore,United States,22,2835672,2,Ravens[note 55],Orioles[note 56],[note 57],—,2,—,[note 58]
Las Vegas,United States,32,2322985,2,Raiders,—,[note 59],Golden Knights,2,—,[note 60]
Indianapolis,United States,36,2141779,2,Colts,[note 61],Pacers[note 62],—,2,—,—
Milwaukee,United States,42,1559792,2,[note 63],Brewers[note 64],Bucks[note 65],—,2,—,—
New Orleans,United States,52,1246176,2,Saints,—,Pelicans[note 66],—,2,—,—
Buffalo,United States,54,1161192,2,Bills[note 67],[note 68],[note 69],Sabres,2,—,—
Montreal,Canada,16,4291732,1,—,[note 70],—,Canadiens[note 71],3,CF Montréal,Alouettes
Vancouver,Canada,27,2642825,1,—,—,[note 72],Canucks,3,Whitecaps FC,Lions
Orlando,United States,24,2764182,1,—,—,Magic,—,2,Orlando City SC,—
Portland,United States,28,2509489,1,—,—,Trail Blazers,—,2,Timbers,—
Columbus,United States,35,2161511,1,[note 73],—,—,Blue Jackets,2,Crew,—
Calgary,Canada,45,1481806,1,—,—,—,Flames,2,—,Stampeders
Ottawa,Canada,43,1488307,1,—,—,—,Senators[note 74],2,—,Redblacks[note 75]
Edmonton,Canada,47,1418118,1,—,—,—,Oilers,2,—,Elks[note 76]
Salt Lake City,United States,51,1266191,1,—,—,Jazz,—,2,Real Salt Lake,—
Winnipeg,Canada,79,834678,1,—,—,—,Jets[note 77],2,—,Blue Bombers
San Diego,United States,20,3276208,1,[note 78],Padres,[note 79],—,1,[note 80],—
San Antonio,United States,26,2655342,1,[note 81],—,Spurs,—,1,—,[note 82]
Sacramento,United States,30,2416702,1,—,—,Kings,—,1,—,[note 83]
Jacksonville,United States,40,1675668,1,Jaguars,—,—,—,1,—,—
Oklahoma City,United States,46,1459380,1,—,—,Thunder[note 84],—,1,—,—
Memphis,United States,49,1332305,1,[note 85],—,Grizzlies,—,1,—,[note 86]
Raleigh,United States,44,1484338,1,—,—,—,Hurricanes,1,—,—
Green Bay,United States,173,330292,1,Packers,—,—,—,1,—,—
Austin,United States,29,2421115,0,—,—,—,—,1,Austin FC,—
Hamilton,Canada,87,785184,0,—,—,—,[note 87],1,—,Tiger-Cats
Regina,Canada,210,249217,0,—,—,—,—,1,—,Roughriders
Totals,—,—,–,124,32,30,30,32,162,29[note 80],9
